Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate
SRR1207291	4.345829999999999	0.970535	1547949919.0	0.459679	98.89411101898034						
SRR1207291_aligners						20.68919659023902	45.0	62.26108381509782	9.090909090909092	25371837.0	
SRR1207291_hisat2											88.51
SRR1207292	10.685500000000001	0.91943	694753715.0	0.453754	97.50187836066878						
SRR1207292_aligners						36.24223506900225	45.0	71.68121688447027	9.090909090909092	10441287.0	
SRR1207292_hisat2											83.61
SRR1207293	3.8755699999999997	0.969334	1571745097.0	0.455284	99.0646578399242						
SRR1207293_aligners						19.906736244019598	45.0	63.79945843491337	0.0	25171859.0	
SRR1207293_hisat2											88.94
SRR1207294	20.1269	0.884196	317843442.0	0.447127	95.33999492488529						
SRR1207294_aligners						40.51750912164719	44.0	70.4971092862866	9.090909090909092	5049618.0	
SRR1207294_hisat2											76.28
SRR1207295	3.14887	0.957085	1777928242.0	0.455017	99.3405723173761						
SRR1207295_aligners						20.823800693327982	45.0	63.86827923563178	0.0	28806954.0	
SRR1207295_hisat2											88.34
SRR1207296	30.7353	0.815359	283210763.0	0.445724	93.9886002968005						
SRR1207296_aligners						65.16225190834024	44.0	71.96470229130286	18.181818181818183	4779857.0	
SRR1207296_hisat2											68.48
SRR1207297	9.38625	0.941909	955713913.0	0.452904	98.84509234033762						
SRR1207297_aligners						22.18723612375132	45.0	60.24756162516709	0.0	16677399.0	
SRR1207297_hisat2											87.5
SRR1207298	26.7965	0.854713	290409808.0	0.441358	94.43650405400128						
SRR1207298_aligners						44.415502137792515	44.0	66.28052022949471	9.090909090909092	5077067.0	
SRR1207298_hisat2											69.72
